219		284		177		295		303		233		170		258		274		162		
138		154		166		203		205		103		57		223		191		171		
229		320		201		325		343		270		174		259		301		175		
211		289		151		301		326		221		185		280		227		170		
125		283		176		261		297		197		175		192		244		157		
96		166		165		214		209		128		63		187		189		142		
191		282		175		311		294		229		154		228		251		156		
137		293		181		324		281		200		172		216		250		173		
129		271		213		309		272		217		142		205		284		183		
167		306		168		339		298		228		197		236		245		179		
